Country/region,Data Quality,HDI,Per Capita GDP,Region,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint
Sao Tome and Principe,3B,0.55,$1.385,Africa,0.2,0.4,0.0,0.3,0.4,0.5,0.0,1.5
Saudi Arabia,3L,0.83,$23.594,Middle East/Central Asia,28.3,0.7,0.3,0.3,4.2,0.1,0.0,5.6
Senegal,5,0.46,$1.079,Africa,13.7,0.3,0.2,0.2,0.3,0.1,0.0,1.2
Serbia,5,0.76,$6.426,Other Europe,9.6,0.5,0.0,0.5,1.7,0.0,0.0,2.7
Sierra Leone,6,0.40,$500,Africa,6.0,0.5,0.1,0.4,0.1,0.2,0.1,1.2
Singapore,5,0.91,$53.122,Asia-Pacific,5.3,0.7,0.2,0.9,5.9,0.2,0.0,8.0
Slovakia,5,0.84,$18.103,EU-27,5.5,0.3,0.1,0.7,2.8,0.0,0.1,4.1
Slovenia,6,0.88,$25.041,EU-27,2.1,0.6,0.2,0.7,4.3,0.1,0.0,5.8
Solomon Islands,3L,0.50,$1.648,Asia-Pacific,0.6,0.5,0.0,0.1,0.0,0.5,0.2,1.3
Somalia,5,Africa,10.2,0.2,0.4,0.5,0.1,0.0,0.1,1.2
South Africa,5,0.66,$8.090,Africa,52.4,0.4,0.1,0.3,2.3,0.1,0.0,3.3
Spain,6,0.87,$32.009,EU-27,46.8,0.8,0.2,0.2,2.2,0.3,0.0,3.7
Sri Lanka,6,0.75,$2.880,Asia-Pacific,21.1,0.3,0.0,0.2,0.5,0.3,0.1,1.3
Suriname,3L,0.71,$8.191,Latin America,0.5,0.4,0.1,0.5,3.0,0.1,0.1,4.3
Swaziland,3L,0.53,$4.657,Africa,1.2,0.4,0.4,0.5,0.7,0.0,0.1,2.0
Sweden,5,0.90,$59.382,EU-27,9.5,1.5,0.3,1.3,3.9,0.1,0.2,7.3
Switzerland,6,0.93,$88.506,Other Europe,8.0,0.8,0.2,0.4,4.3,0.1,0.1,5.8
Syrian Arab Republic,5,0.62,Middle East/Central Asia,21.9,0.5,0.1,0.0,0.8,0.0,0.1,1.5
Tajikistan,5,0.62,$836,Middle East/Central Asia,8.0,0.5,0.1,0.1,0.1,0.0,0.1,0.9
Tanzania. United Republic of,6,0.48,$765,Africa,47.8,0.4,0.3,0.2,0.2,0.1,0.1,1.3
Thailand,6,0.72,$5.479,Asia-Pacific,66.8,0.7,0.0,0.2,1.5,0.1,0.1,2.7
Timor-Leste,3B,0.60,$5.168,Asia-Pacific,1.1,0.3,0.1,0.0,0.1,0.0,0.0,0.5
Togo,6,0.47,$581,Africa,6.6,0.3,0.1,0.3,0.3,0.1,0.0,1.1
Tonga,3B,0.72,$4.331,Asia-Pacific,0.1,1.2,0.3,0.1,0.9,0.2,0.0,2.7
Trinidad and Tobago,3B,0.77,$18.311,Latin America,1.3,0.5,0.2,0.3,6.9,0.1,0.0,7.9
Tunisia,5,0.72,$4.305,Africa,10.9,0.8,0.1,0.3,1.1,0.1,0.0,2.3
Turkey,5,0.76,$10.438,Middle East/Central Asia,74.0,0.9,0.1,0.3,1.9,0.0,0.0,3.3
Turkmenistan,6,0.68,$5.290,Middle East/Central Asia,5.2,0.7,0.4,0.1,4.1,0.0,0.1,5.5
Uganda,6,0.48,$601,Africa,36.4,0.3,0.2,0.5,0.1,0.1,0.0,1.2
Ukraine,5,0.74,$3.590,Other Europe,45.5,0.6,0.0,0.2,1.9,0.1,0.1,2.8
United Kingdom,6,0.90,$40.981,EU-27,63.0,0.8,0.3,0.5,3.1,0.1,0.2,4.9
United States of America,6,0.91,$49.725,North America,317.5,1.1,0.3,0.7,5.9,0.1,0.1,8.2
Uruguay,3B,0.79,$14.238,Latin America,3.4,0.2,1.0,0.6,1.0,0.1,0.2,2.9
Uzbekistan,6,0.67,$1.561,Middle East/Central Asia,28.5,0.6,0.1,0.1,1.4,0.0,0.1,2.3
Venezuela. Bolivarian Republic of,5,0.76,$10.238,Latin America,30.0,0.5,0.7,0.1,2.1,0.1,0.0,3.6
Viet Nam,6,0.66,$1.532,Asia-Pacific,90.8,0.5,0.0,0.2,0.8,0.1,0.1,1.7
Wallis and Futuna Islands,3T,Asia-Pacific,0.0,2.1
Yemen,5,0.50,$1.302,Middle East/Central Asia,23.9,0.3,0.1,0.0,0.4,0.0,0.0,1.0
Zambia,6,0.58,$1.741,Africa,14.1,0.2,0.2,0.3,0.2,0.0,0.0,1.0
Zimbabwe,6,0.49,$866,Africa,13.7,0.2,0.3,0.3,0.5,0.0,0.0,1.4
