Temperature (C);"	Year"; Month; Country; ISO3; ISO2
6,297059;1995;2;NLD;;
5,3235292;1995;3;NLD;;
8,702941;1995;4;NLD;;
12,708823;1995;5;NLD;;
14,273529;1995;6;NLD;;
19,808825;1995;7;NLD;;
19,544117;1995;8;NLD;;
13,867647;1995;9;NLD;;
12,911764;1995;10;NLD;;
6,5588236;1995;11;NLD;;
-0,27941176;1995;12;NLD;;
-0,26470587;1996;1;NLD;;
0,07941176;1996;2;NLD;;
3,017647;1996;3;NLD;;
9,097059;1996;4;NLD;;
10,520588;1996;5;NLD;;
15,217647;1996;6;NLD;;
16,185293;1996;7;NLD;;
17,464706;1996;8;NLD;;
12,464705;1996;9;NLD;;
10,755882;1996;10;NLD;;
5,735294;1996;11;NLD;;
0,7735294;1996;12;NLD;;
-0,8705882;1997;1;NLD;;
5,7735295;1997;2;NLD;;
7,6647058;1997;3;NLD;;
7,652941;1997;4;NLD;;
12,441176;1997;5;NLD;;
15,541176;1997;6;NLD;;
17,411764;1997;7;NLD;;
20,744118;1997;8;NLD;;
14,620588;1997;9;NLD;;
9,682353;1997;10;NLD;;
6,2705884;1997;11;NLD;;
4,820588;1997;12;NLD;;
4,4176474;1998;1;NLD;;
6,217647;1998;2;NLD;;
7,297059;1998;3;NLD;;
8,788236;1998;4;NLD;;
14,529411;1998;5;NLD;;
15,591176;1998;6;NLD;;
16,02647;1998;7;NLD;;
16,729412;1998;8;NLD;;
14,564707;1998;9;NLD;;
9,526471;1998;10;NLD;;
3,5823529;1998;11;NLD;;
4,2588234;1998;12;NLD;;
4,885294;1999;1;NLD;;
3,0735295;1999;2;NLD;;
7,2176466;1999;3;NLD;;
9,582354;1999;4;NLD;;
13,908824;1999;5;NLD;;
15;1999;6;NLD;;
19,02647;1999;7;NLD;;
17,717648;1999;8;NLD;;
17,417646;1999;9;NLD;;
10,517647;1999;10;NLD;;
6,458823;1999;11;NLD;;
4,6205883;1999;12;NLD;;
4,2441177;2000;1;NLD;;
5,791177;2000;2;NLD;;
6,870588;2000;3;NLD;;
9,885294;2000;4;NLD;;
14,467647;2000;5;NLD;;
15,891176;2000;6;NLD;;
15,344118;2000;7;NLD;;
17,667646;2000;8;NLD;;
15,6029415;2000;9;NLD;;
11,297059;2000;10;NLD;;
7,8;2000;11;NLD;;
5,4;2000;12;NLD;;
2,8941178;2001;1;NLD;;
4,3882356;2001;2;NLD;;
5,132353;2001;3;NLD;;
7,9411764;2001;4;NLD;;
13,882353;2001;5;NLD;;
14,797058;2001;6;NLD;;
18,591175;2001;7;NLD;;
18,808825;2001;8;NLD;;
13,326471;2001;9;NLD;;
14,1470585;2001;10;NLD;;
7,097059;2001;11;NLD;;
3,1588235;2001;12;NLD;;
4,364706;2002;1;NLD;;
6,95;2002;2;NLD;;
7,3617644;2002;3;NLD;;
9,211764;2002;4;NLD;;
13,305882;2002;5;NLD;;
16,5;2002;6;NLD;;
17,532352;2002;7;NLD;;
18,95;2002;8;NLD;;
14,802942;2002;9;NLD;;
9,597059;2002;10;NLD;;
7,8058825;2002;11;NLD;;
2,932353;2002;12;NLD;;
2,3911765;2003;1;NLD;;
1,8058822;2003;2;NLD;;
7,544118;2003;3;NLD;;
9,717647;2003;4;NLD;;
13,302942;2003;5;NLD;;
17,92941;2003;6;NLD;;
18,988235;2003;7;NLD;;
19,761765;2003;8;NLD;;
14,770589;2003;9;NLD;;
7,620588;2003;10;NLD;;
7,9441175;2003;11;NLD;;
4,5205884;2003;12;NLD;;
3,385294;2004;1;NLD;;
4,6588235;2004;2;NLD;;
6,0941176;2004;3;NLD;;
10,3;2004;4;NLD;;
12,226471;2004;5;NLD;;
15,3970585;2004;6;NLD;;
16,770588;2004;7;NLD;;
18,964706;2004;8;NLD;;
15,308825;2004;9;NLD;;
11,302941;2004;10;NLD;;
6,45;2004;11;NLD;;
3,5117645;2004;12;NLD;;
4,997059;2005;1;NLD;;
2,3;2005;2;NLD;;
6,2264705;2005;3;NLD;;
10,052941;2005;4;NLD;;
12,479412;2005;5;NLD;;
16,423529;2005;6;NLD;;
17,738235;2005;7;NLD;;
16,326471;2005;8;NLD;;
15,923529;2005;9;NLD;;
13,35;2005;10;NLD;;
6,8882356;2005;11;NLD;;
4,182353;2005;12;NLD;;
1,3764706;2006;1;NLD;;
2,5411763;2006;2;NLD;;
3,75;2006;3;NLD;;
8,485294;2006;4;NLD;;
13,929411;2006;5;NLD;;
16,344118;2006;6;NLD;;
21,85;2006;7;NLD;;
16,508823;2006;8;NLD;;
17,841175;2006;9;NLD;;
13,747058;2006;10;NLD;;
9,255882;2006;11;NLD;;
6,794118;2006;12;NLD;;
6,902941;2007;1;NLD;;
5,9911766;2007;2;NLD;;
8,132353;2007;3;NLD;;
11,594118;2007;4;NLD;;
13,847058;2007;5;NLD;;
17,055882;2007;6;NLD;;
16,958824;2007;7;NLD;;
17,217648;2007;8;NLD;;
13,961764;2007;9;NLD;;
10,120588;2007;10;NLD;;
6,8588233;2007;11;NLD;;
4,1764708;2007;12;NLD;;
6,1558824;2008;1;NLD;;
5,3764706;2008;2;NLD;;
6,002941;2008;3;NLD;;
8,641176;2008;4;NLD;;
15,282353;2008;5;NLD;;
16,22647;2008;6;NLD;;
18,067646;2008;7;NLD;;
17,541176;2008;8;NLD;;
13,776471;2008;9;NLD;;
10,176471;2008;10;NLD;;
6,902941;2008;11;NLD;;
2,8;2008;12;NLD;;
0,9029411;2009;1;NLD;;
3,167647;2009;2;NLD;;
6,282353;2009;3;NLD;;
11,744118;2009;4;NLD;;
13,635294;2009;5;NLD;;
15,379412;2009;6;NLD;;
18,082354;2009;7;NLD;;
18,861765;2009;8;NLD;;
15,270589;2009;9;NLD;;
10,461764;2009;10;NLD;;
9,332354;2009;11;NLD;;
2,5941176;2009;12;NLD;;
-0,6911765;2010;1;NLD;;
1,4647058;2010;2;NLD;;
6,202941;2010;3;NLD;;
9,420588;2010;4;NLD;;
10,388235;2010;5;NLD;;
16,141176;2010;6;NLD;;
19,761765;2010;7;NLD;;
16,905882;2010;8;NLD;;
13,655882;2010;9;NLD;;
10,470588;2010;10;NLD;;
5,779412;2010;11;NLD;;
-0,9088235;2010;12;NLD;;
3,3058822;2011;1;NLD;;
4,3794117;2011;2;NLD;;
6,35;2011;3;NLD;;
12,582354;2011;4;NLD;;
14,076471;2011;5;NLD;;
16,014706;2011;6;NLD;;
15,938235;2011;7;NLD;;
17,132353;2011;8;NLD;;
15,75;2011;9;NLD;;
11,455882;2011;10;NLD;;
7,4852943;2011;11;NLD;;
6,3882356;2011;12;NLD;;
4,65;2012;1;NLD;;
0,7147059;2012;2;NLD;;
8,347059;2012;3;NLD;;
7,723529;2012;4;NLD;;
14,038236;2012;5;NLD;;
14,726471;2012;6;NLD;;
17,211765;2012;7;NLD;;
18,767647;2012;8;NLD;;
14,235293;2012;9;NLD;;
10,447059;2012;10;NLD;;
6,894118;2012;11;NLD;;
4,967647;2012;12;NLD;;
